Product Title,URL,Price,Rating,Review Count
SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch) ,https://www.amazon.com/SteelSeries-Apex-RGB-Gaming-Keyboard/dp/B07ZGDPT4M/ref=sr_1_18?keywords=keyboard&qid=1656136948&sr=8-18,$48.97,,
"Lovaky MK98 Wireless Keyboard, 2.4G Ergonomic Wireless Computer Keyboard, Enlarged Indicator Light, Full Size PC Keyboard with Numeric Keypad for Laptop, Desktop, Surface, Chromebook, Notebook, Black ",https://www.amazon.com/Lovaky-Wireless-Ergonomic-Indicator-Chromebook/dp/B09KZGY5TK/ref=sr_1_19?keywords=keyboard&qid=1656136948&sr=8-19,$18.49,,
Amazon Basics Wireless Keyboard-Quiet and Compact-US Layout (QWERTY) ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08058342BM8XI444KDVH&url=%2FAmazonBasics-Wireless-Keyboard-Quiet-Compact-US-Layout%2Fdp%2FB07WV5WN7B%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136948%26sr%3D8-20-spons%26psc%3D1&qualifier=1656136948&id=1063403614070834&widgetName=sp_btf,$22.99,,
"Wireless Keyboard and Mouse, WisFox Full-Size Wireless Mouse and Keyboard Combo, 2.4GHz Silent USB Wireless Keyboard Mouse Combo for PC Desktops Computer, Laptops, Windows (Black) ",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01572613E55NYJZH6Z1O&url=%2FWireless-Keyboard-Full-Size-Desktops-Computer%2Fdp%2FB07XDWCLYF%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136948%26sr%3D8-21-spons%26psc%3D1&qualifier=1656136948&id=1063403614070834&widgetName=sp_btf,$22.09,,
X9 Performance Multimedia USB Keyboard Wired - Take Control of Your Media - Full Size Wired Keyboard with Wrist Rest and 114 Keys - Wired Computer Keyboard for Laptop and Office PC ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A058327133BKMSUTNJF4V&url=%2FX9-Performance-X9MEDIAPALM%2Fdp%2FB08G1WNS6F%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136948%26sr%3D8-22-spons%26psc%3D1&qualifier=1656136948&id=1063403614070834&widgetName=sp_btf,$20.99,,
CHERRY Stream Keyboard - Wired USB Keyboard - SX Scissors Mechanism - GS Approval - QWERTY (White) ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0507171B3NC5DKJOLJD&url=%2FCHERRY-Stream-Keyboard-Scissors-Mechanism%2Fdp%2FB09RGBJ5QH%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136952%26sr%3D8-17-spons%26psc%3D1&qualifier=1656136952&id=272191767398232&widgetName=sp_atf_next,$29.95,,
"RAPOO 2.4G Wireless Keyboard and Mouse Combo, Slim Multi Device Bluetooth Keyboard, Protable Silent Keyboards with 1600 DPI Silent Mouse for PC Desktop Notebook Laptop, Windows XP/7/8/10, Mac ",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A088324917ZJGR4VBWIIU&url=%2FWireless-Keyboard-Bluetooth-Protable-Keyboards%2Fdp%2FB09SYLY64F%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136952%26sr%3D8-18-spons%26psc%3D1&qualifier=1656136952&id=272191767398232&widgetName=sp_atf_next,$34.99,,
"SADES Keyboard and Mouse Sets Wireless Keyboard and Mouse Sets,Reliable 2.4 GHz Connectivity for PC,Laptop,Smart TV and More (Milk Tea Color) ",https://www.amazon.com/SADES-Keyboard-Wireless-Reliable-Connectivity/dp/B097R4L2JF/ref=sr_1_19?keywords=keyboard&qid=1656136952&sr=8-19,$39.09,,
Razer Huntsman V2 TKL Tenkeyless Gaming Keyboard: Fastest Linear Optical Switches Gen2 w/Sound Dampeners & 8000Hz Polling Rate - Detachable TypeC Cable - Doubleshot PBT Keycaps - Ergonomic Wrist Rest ,https://www.amazon.com/Razer-Huntsman-Tenkeyless-Gaming-Keyboard/dp/B09C13WYDX/ref=sr_1_20?keywords=keyboard&qid=1656136952&sr=8-20,$159.99,,
"Wireless Keyboard, EDJO 2.4G Ergonomic Full Size Wireless Computer Keyboard with Wrist Rest for Windows, Mac OS Desktop/Laptop/PC（Black） ",https://www.amazon.com/Wireless-Keyboard-EDJO-Ergonomic-PC%EF%BC%88Black%EF%BC%89/dp/B095VM6J1R/ref=sr_1_21?keywords=keyboard&qid=1656136952&sr=8-21,$25.99,,
"Wireless Keyboard and Mouse Ultra Slim Combo, TopMate 2.4G Silent Compact USB Mouse and Scissor Switch Keyboard Set with Cover, 2 AA and 2 AAA Batteries, for PC/Laptop/Windows/Mac - White ",https://www.amazon.com/TopMate-Wireless-Keyboard-Designed-Office/dp/B06XHY8J7M/ref=sr_1_22?keywords=keyboard&qid=1656136952&sr=8-22,$29.55,,
"Wireless Keyboard and Mouse Combo, Loigys Full-Sized 2.4GHz Wireless Keyboard with Comfortable Palm Rest and Optical Wireless Mouse for Windows, Mac OS PC/Desktops/Computer/Laptops ",https://www.amazon.com/Wireless-Keyboard-Loigys-Full-Sized-Comfortable/dp/B09N6VYHTX/ref=sr_1_23?keywords=keyboard&qid=1656136952&sr=8-23,$32.59,,
SteelSeries Apex 5 Hybrid Mechanical Gaming Keyboard – Per-Key RGB Illumination – Aircraft Grade Aluminum Alloy Frame – OLED Smart Display (Hybrid Blue Switch) ,https://www.amazon.com/SteelSeries-Apex-Hybrid-Mechanical-Gaming-Keyboard/dp/B07ZGDD6B1/ref=sr_1_24?keywords=keyboard&qid=1656136952&sr=8-24,$89.97,,
"havit Gaming Keyboard and Mouse Combo, Backlit Computer keyboards and RGB Gaming Mouse, Gaming Accessories 104 Keys PC Gaming Keyboard with DPI 4800 Mouse for Gamer, Black ",https://www.amazon.com/HAVIT-Rainbow-Backlit-Gaming-Keyboard/dp/B016Y2BVKA/ref=sr_1_25?keywords=keyboard&qid=1656136952&sr=8-25,$29.99,,
"Wireless Keyboard Mouse Combo, cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop ",https://www.amazon.com/Wireless-Keyboard-Cimetech-Ultra-Thin-Computer/dp/B07SWJ2KBH/ref=sr_1_26?keywords=keyboard&qid=1656136952&sr=8-26,$34.99,,
"BTO USB Wired Keyboard, 104 Keys with Numeric Pad, Anti Spill and Dust Proof, Slim and Flexible Design, Compatible with Laptop Notebooks, Desktops PCs, Tablets, Towers, Windows 7, 8, 10, 11 ",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06958413HWZEQ9SNS3QQ&url=%2FBTO-Keyboard-Flexible-Compatible-Notebooks%2Fdp%2FB09883YCB3%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136952%26sr%3D8-27-spons%26psc%3D1%26smid%3DA2L5GKX31VOMVD&qualifier=1656136952&id=272191767398232&widgetName=sp_mtf,$9.99,,
"HITIME XVX M61 60% Mechanical Keyboard Wireless, Ultra-Compact 2.4G Rechargeable Gaming Keyboard, RGB Backlit Ergonomic Keyboard for Windows Mac PC Gamers(Izakaya Theme, Gateron Yellow Switch) ",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07385802HDH0XRXNHGFA&url=%2FHITIME-Mechanical-Ultra-Compact-Rechargeable-Ergonomic%2Fdp%2FB09MQPT2NQ%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136952%26sr%3D8-28-spons%26psc%3D1&qualifier=1656136952&id=272191767398232&widgetName=sp_mtf,$74.99,,
"RK ROYAL KLUDGE Typewriter Style Mechanical Gaming Keyboard with True RGB Backlit Collapsible Wrist Rest 108-Key Blue Switch Retro Round Keycap, Black ",https://www.amazon.com/RK-ROYAL-KLUDGE-Typewriter-Collapsible/dp/B07XVCP7F5/ref=sr_1_29?keywords=keyboard&qid=1656136952&sr=8-29,$66.99,,
"Lenovo 300 USB Keyboard, Wired, Adjustable Tilt, Ergonomic, Windows 7/8/10, GX30M39655, Black ",https://www.amazon.com/Lenovo-Idea-GX30M39655-300-Keyboard/dp/B07MMNVG4L/ref=sr_1_30?keywords=keyboard&qid=1656136952&sr=8-30,$21.23,,
"NPET K10 Gaming Keyboard, LED Backlit, Spill-Resistant Design, Multimedia Keys, Quiet Silent USB Membrane Keyboard for Desktop, Computer, PC (Purple) ",https://www.amazon.com/NPET-K10-Water-Resistant-Mechanical-Ultra-Slim/dp/B098JVBM6W/ref=sr_1_31?keywords=keyboard&qid=1656136952&sr=8-31,$22.99,,
"Havit Mechanical Keyboard, Wired Compact PC Keyboard with Number Pad Red Switch Mechanical Gaming Keyboard 89 Keys for Computer/Laptop (Black) ",https://www.amazon.com/Mechanical-Keyboard-Gaming-Keycaps-Computer/dp/B085ZDXGZW/ref=sr_1_33?keywords=keyboard&qid=1656136952&sr=8-33,$39.99,,
"Gaming Keyboard and Mouse Combo, K1 LED Rainbow Backlit Keyboard with 104 Key Computer PC Gaming Keyboard for PC/Laptop(White) ",https://www.amazon.com/Gaming-Keyboard-Rainbow-Backlit-Computer/dp/B07W6ZTMWP/ref=sr_1_35?keywords=keyboard&qid=1656136952&sr=8-35,$22.94,,
"Wireless Keyboard and Mouse Combo, WisFox 2.4GHz Ergonomic USB Keyboard with Phone Holder, Full Size Keyboard and Mouse Set for Computer, Laptop and Desktop(Black) ",https://www.amazon.com/Wireless-Keyboard-WisFox-Ergonomic-Computer/dp/B08NSWTQQP/ref=sr_1_36?keywords=keyboard&qid=1656136952&sr=8-36,$27.99,,
"Typewriter Style Mechanical Gaming Keyboard, Black Retro Punk Gaming Keyboard with RGB Backlit, 104 Keys Blue Switch Wired Cute Keyboard, Round Keycaps for Windows/Mac/PC ",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A047601920PWC08EWUHQR&url=%2FTypewriter-Mechanical-Keyboard-Backlit-Keycaps%2Fdp%2FB09DK9CSTQ%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dkeyboard%26qid%3D1656136952%26sr%3D8-37-spons%26psc%3D1&qualifier=1656136952&id=272191767398232&widgetName=sp_btf,$36.99,,
